Month,GridCompany,GridCompanyName,NumberofChangesforSmallConsumers,NumberofChangesforLargeConsumers
2023-05-01T00:00:00,141,Hammel Elforsyning Net A/S,24,0
2023-05-01T00:00:00,151,Konstant Net A/S - 151,1009,3
2023-05-01T00:00:00,154,Elnet Midt A/S,184,1
2023-05-01T00:00:00,233,Dinel A/S - 233,897,12
2023-05-01T00:00:00,244,TREFOR El-Net A/S,791,6
2023-05-01T00:00:00,245,Konstant Net A/S - 245,382,1
2023-05-01T00:00:00,331,Netselskabet Elværk A/S - 331,131,8
2023-05-01T00:00:00,341,GEV Elnet A/S,17,0
2023-05-01T00:00:00,342,Ikast El Net A/S,61,0
2023-05-01T00:00:00,344,N1 A/S - 344,1888,12
2023-05-01T00:00:00,347,NOE Net A/S,124,2
2023-05-01T00:00:00,348,RAH Net A/S,266,4
2023-05-01T00:00:00,351,L-Net A/S,75,1
2023-05-01T00:00:00,357,Forsyning Elnet A/S,30,0
2023-05-01T00:00:00,370,Aal El-net A.m.b.a,15,0
2023-05-01T00:00:00,371,Hjerting Transformatorforening,12,0
2023-05-01T00:00:00,381,Hurup Elværk Net A/S,4,0
2023-05-01T00:00:00,384,Tarm Elværk Net A/S,18,0
2023-05-01T00:00:00,385,Videbæk Elnet A/S,11,0
2023-05-01T00:00:00,396,Sunds Net A.m.b.a,13,0
2023-05-01T00:00:00,398,N1 A/S - 398,11,0
2023-05-01T00:00:00,531,Ravdex A/S,90,0
2023-05-01T00:00:00,532,Veksel A/S,48,0
2023-05-01T00:00:00,533,FLOW Elnet A/S,200,1
2023-05-01T00:00:00,543,Vores Elnet A/S,955,9
2023-05-01T00:00:00,584,Midtfyns Elforsyning A.m.b.A.,42,0
2023-05-01T00:00:00,740,Cerius A/S - 740,2772,137
2023-05-01T00:00:00,757,Elektrus A/S,99,0
2023-05-01T00:00:00,791,Radius Elnet A/S,5547,236
2023-05-01T00:00:00,853,Cerius A/S - 853,50,1
2023-05-01T00:00:00,854,NKE-Elnet A/S,113,0
2023-05-01T00:00:00,860,Zeanet A/S,172,0
2023-05-01T00:00:00,911,TREFOR El-Net Øst A/S,89,0
2023-04-01T00:00:00,016,El-net Kongerslev A/S,4,1
2023-04-01T00:00:00,031,Nord Energi Net A/S,611,16
2023-04-01T00:00:00,042,Netselskabet Elværk A/S - 042,85,4
2023-04-01T00:00:00,051,Elinord A/S,128,1
2023-04-01T00:00:00,084,Kimbrer Elnet A/S,34,0
2023-04-01T00:00:00,085,Læsø Elnet A/S,16,0
2023-04-01T00:00:00,131,N1 A/S - 131,3249,17
2023-04-01T00:00:00,141,Hammel Elforsyning Net A/S,24,0
2023-04-01T00:00:00,151,Konstant Net A/S - 151,1043,6
2023-04-01T00:00:00,154,Elnet Midt A/S,264,0
2023-04-01T00:00:00,233,Dinel A/S - 233,831,4
2023-04-01T00:00:00,244,TREFOR El-Net A/S,855,8
2023-04-01T00:00:00,245,Konstant Net A/S - 245,461,1
2023-04-01T00:00:00,331,Netselskabet Elværk A/S - 331,154,1
2023-04-01T00:00:00,341,GEV Elnet A/S,32,0
2023-04-01T00:00:00,342,Ikast El Net A/S,46,0
2023-04-01T00:00:00,344,N1 A/S - 344,2086,31
2023-04-01T00:00:00,347,NOE Net A/S,130,0
2023-04-01T00:00:00,348,RAH Net A/S,324,5
2023-04-01T00:00:00,351,L-Net A/S,101,0
2023-04-01T00:00:00,357,Forsyning Elnet A/S,25,1
2023-04-01T00:00:00,370,Aal El-net A.m.b.a,20,0
2023-04-01T00:00:00,371,Hjerting Transformatorforening,17,0
2023-04-01T00:00:00,381,Hurup Elværk Net A/S,3,0
2023-04-01T00:00:00,384,Tarm Elværk Net A/S,10,0
2023-04-01T00:00:00,385,Videbæk Elnet A/S,5,0
2023-04-01T00:00:00,396,Sunds Net A.m.b.a,23,0
2023-04-01T00:00:00,398,N1 A/S - 398,11,1
2023-04-01T00:00:00,531,Ravdex A/S,87,0
2023-04-01T00:00:00,532,Veksel A/S,53,2
2023-04-01T00:00:00,533,FLOW Elnet A/S,216,0
2023-04-01T00:00:00,543,Vores Elnet A/S,1265,22
2023-04-01T00:00:00,584,Midtfyns Elforsyning A.m.b.A.,58,0
2023-04-01T00:00:00,740,Cerius A/S - 740,3610,170
