HourUTC,HourDK,GridCompany,ResidualConsumption,FlexSettledConsumption,HourlySettledConsumption
2023-12-31T16:00:00,2023-12-31T17:00:00,791,,754471.463,463306.162
2023-12-31T16:00:00,2023-12-31T17:00:00,853,,5868.391,10662.854
2023-12-31T16:00:00,2023-12-31T17:00:00,854,,10718.597,2968.317
2023-12-31T16:00:00,2023-12-31T17:00:00,860,,15871.762,7307.6
2023-12-31T16:00:00,2023-12-31T17:00:00,911,,26429.31,7009.25
2023-12-31T16:00:00,2023-12-31T17:00:00,950,,73.7,
2023-12-31T16:00:00,2023-12-31T17:00:00,951,,10600.0,
2023-12-31T16:00:00,2023-12-31T17:00:00,952,,58924.8,
2023-12-31T16:00:00,2023-12-31T17:00:00,953,,13338.0,
2023-12-31T16:00:00,2023-12-31T17:00:00,954,,10770.0,
2023-12-31T16:00:00,2023-12-31T17:00:00,960,,120.8,
2023-12-31T16:00:00,2023-12-31T17:00:00,962,,11195.008,
2023-12-31T16:00:00,2023-12-31T17:00:00,990,,5210.0,
2023-12-31T15:00:00,2023-12-31T16:00:00,003,,103394.68,0.0
2023-12-31T15:00:00,2023-12-31T16:00:00,007,,81348.778,0.0
